Fortaleza,1,4,53,29,16,5,8,43,28,15,60.9,7
Goiás,2,4,46,28,14,4,10,40,35,5,54.8,10
CSA,3,4,46,28,13,7,8,38,30,8,54.8,6
Avaí,4,4,45,28,12,9,7,38,25,13,53.6,6
Guarani,5,3,44,28,12,8,8,36,29,7,52.4,8
Atlético-GO,6,3,43,28,12,7,9,39,38,1,51.2,6
Vila Nova,7,2,43,28,11,10,7,26,20,6,51.2,8
Londrina,8,2,40,29,11,7,11,32,32,0,46,10
Figueirense,9,2,39,28,10,9,9,36,34,2,46.4,5
Oeste,10,2,38,28,9,11,8,30,31,-1,45.2,5
Ponte Preta,11,2,37,29,9,10,10,30,26,4,42.5,3
Coritiba,12,2,37,28,9,10,9,29,30,-1,44,7
Criciúma,13,1,36,28,9,9,10,30,33,-3,42.9,11
São Bento,14,1,36,29,8,12,9,29,30,-1,41.4,8
Brasil de Pelotas,15,1,34,29,8,10,11,25,29,-4,39.1,9
Juventude,16,1,32,29,6,14,9,21,28,-7,36.8,4
Paysandu,17,0,31,28,7,10,11,27,36,-9,36.9,6
CRB,18,0,30,28,7,9,12,21,30,-9,35.7,5
Boa Esporte,19,0,26,28,6,8,14,22,35,-13,31,8
Sampaio Corrêa,20,0,25,28,6,7,15,23,36,-13,29.8,4